"filename", "language", "JSON", "JavaScript", "Markdown", "TypeScript", "Vue", "SCSS", "CSS", "comment", "blank", "total"
"c:\Users\mocny\Desktop\logosklep_v0.2.8\.eslintrc.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 1, 1, 18
"c:\Users\mocny\Desktop\logosklep_v0.2.8\.prettierrc", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\mocny\Desktop\logosklep_v0.2.8\README.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 0, 12, 26
"c:\Users\mocny\Desktop\logosklep_v0.2.8\assets\README.md", "Markdown", 0, 0, 4, 0, 0, 0, 0, 0, 4, 8
"c:\Users\mocny\Desktop\logosklep_v0.2.8\assets\css\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\mocny\Desktop\logosklep_v0.2.8\assets\main.scss", "SCSS", 0, 0, 0, 0, 0, 9, 0, 5, 5, 19
"c:\Users\mocny\Desktop\logosklep_v0.2.8\components\Card.vue", "Vue", 0, 0, 0, 0, 37, 0, 0, 0, 2, 39
"c:\Users\mocny\Desktop\logosklep_v0.2.8\components\FileUpload.vue", "Vue", 0, 0, 0, 0, 76, 0, 0, 2, 9, 87
"c:\Users\mocny\Desktop\logosklep_v0.2.8\components\FileUploadNew.vue", "Vue", 0, 0, 0, 0, 84, 0, 0, 2, 13, 99
"c:\Users\mocny\Desktop\logosklep_v0.2.8\components\Heart.vue", "Vue", 0, 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\mocny\Desktop\logosklep_v0.2.8\components\ListaOgloszen.vue", "Vue", 0, 0, 0, 0, 89, 0, 0, 9, 12, 110
"c:\Users\mocny\Desktop\logosklep_v0.2.8\components\LoginModal.vue", "Vue", 0, 0, 0, 0, 119, 0, 0, 0, 10, 129
"c:\Users\mocny\Desktop\logosklep_v0.2.8\components\Logo.vue", "Vue", 0, 0, 0, 0, 143, 0, 0, 0, 6, 149
"c:\Users\mocny\Desktop\logosklep_v0.2.8\components\Ogloszenie.vue", "Vue", 0, 0, 0, 0, 117, 0, 0, 7, 9, 133
"c:\Users\mocny\Desktop\logosklep_v0.2.8\components\README.md", "Markdown", 0, 0, 4, 0, 0, 0, 0, 0, 4, 8
"c:\Users\mocny\Desktop\logosklep_v0.2.8\components\RegisterModal.vue", "Vue", 0, 0, 0, 0, 140, 0, 0, 1, 15, 156
"c:\Users\mocny\Desktop\logosklep_v0.2.8\components\RegisterModal_old.vue", "Vue", 0, 0, 0, 0, 119, 0, 0, 0, 11, 130
"c:\Users\mocny\Desktop\logosklep_v0.2.8\firebase.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\mocny\Desktop\logosklep_v0.2.8\firestore.indexes.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\mocny\Desktop\logosklep_v0.2.8\functions\.eslintrc.js", "JavaScript", 0, 70, 0, 0, 0, 0, 0, 0, 1, 71
"c:\Users\mocny\Desktop\logosklep_v0.2.8\functions\package-lock.json", "JSON", 3558, 0, 0, 0, 0, 0, 0, 0, 1, 3559
"c:\Users\mocny\Desktop\logosklep_v0.2.8\functions\package.json", "JSON", 29, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\mocny\Desktop\logosklep_v0.2.8\functions\src\index.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 7, 13, 46
"c:\Users\mocny\Desktop\logosklep_v0.2.8\functions\tsconfig.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\mocny\Desktop\logosklep_v0.2.8\functions\tslint.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 46, 35, 116
"c:\Users\mocny\Desktop\logosklep_v0.2.8\jest.config.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\mocny\Desktop\logosklep_v0.2.8\layouts\README.md", "Markdown", 0, 0, 4, 0, 0, 0, 0, 0, 4, 8
"c:\Users\mocny\Desktop\logosklep_v0.2.8\layouts\default.vue", "Vue", 0, 0, 0, 0, 129, 0, 0, 0, 18, 147
"c:\Users\mocny\Desktop\logosklep_v0.2.8\middleware\README.md", "Markdown", 0, 0, 5, 0, 0, 0, 0, 0, 4, 9
"c:\Users\mocny\Desktop\logosklep_v0.2.8\middleware\authenticated.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 9, 4, 21
"c:\Users\mocny\Desktop\logosklep_v0.2.8\nuxt.config.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 13, 11, 68
"c:\Users\mocny\Desktop\logosklep_v0.2.8\package-lock.json", "JSON", 19440, 0, 0, 0, 0, 0, 0, 0, 1, 19441
"c:\Users\mocny\Desktop\logosklep_v0.2.8\package.json", "JSON", 65, 0, 0, 0, 0, 0, 0, 0, 1, 66
"c:\Users\mocny\Desktop\logosklep_v0.2.8\pages\README.md", "Markdown", 0, 0, 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\mocny\Desktop\logosklep_v0.2.8\pages\about.vue", "Vue", 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\mocny\Desktop\logosklep_v0.2.8\pages\dodaj_konkurs.vue", "Vue", 0, 0, 0, 0, 346, 0, 0, 5, 33, 384
"c:\Users\mocny\Desktop\logosklep_v0.2.8\pages\dodaj_konkurs_old.vue", "Vue", 0, 0, 0, 0, 139, 0, 0, 4, 11, 154
"c:\Users\mocny\Desktop\logosklep_v0.2.8\pages\index.vue", "Vue", 0, 0, 0, 0, 41, 0, 0, 0, 8, 49
"c:\Users\mocny\Desktop\logosklep_v0.2.8\pages\konkursy\_id.vue", "Vue", 0, 0, 0, 0, 16, 0, 0, 0, 6, 22
"c:\Users\mocny\Desktop\logosklep_v0.2.8\pages\profile.vue", "Vue", 0, 0, 0, 0, 263, 0, 0, 1, 16, 280
"c:\Users\mocny\Desktop\logosklep_v0.2.8\pages\uzytkownicy\_id.vue", "Vue", 0, 0, 0, 0, 55, 0, 0, 1, 8, 64
"c:\Users\mocny\Desktop\logosklep_v0.2.8\plugins\README.md", "Markdown", 0, 0, 4, 0, 0, 0, 0, 0, 4, 8
"c:\Users\mocny\Desktop\logosklep_v0.2.8\plugins\firebaseauth.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 27, 1, 29
"c:\Users\mocny\Desktop\logosklep_v0.2.8\static\README.md", "Markdown", 0, 0, 7, 0, 0, 0, 0, 0, 5, 12
"c:\Users\mocny\Desktop\logosklep_v0.2.8\store\README.md", "Markdown", 0, 0, 6, 0, 0, 0, 0, 0, 5, 11
"c:\Users\mocny\Desktop\logosklep_v0.2.8\store\index.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 1, 9, 61
"c:\Users\mocny\Desktop\logosklep_v0.2.8\store\users\index.js", "JavaScript", 0, 142, 0, 0, 0, 0, 0, 7, 24, 173
"c:\Users\mocny\Desktop\logosklep_v0.2.8\test\Logo.spec.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\mocny\Desktop\logosklep_v0.2.8\tsconfig.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 18, 0, 37
"Total", "-", 23182, 357, 52, 27, 1925, 9, 3, 166, 350, 26071
